type,id,name,gender,person,description
way,68283731,Rue Joseph Fourneaux,M,,
way,68283952,Rue Arthur Decoux,M,,
way,68283982,Rue Arthur Dandois,M,,
way,68666756,Rue Paul Henrard,M,,
way,68666929,Rue Paul Janson,M,,
way,69138290,Rue Hector Denis,M,,
way,69138295,Avenue Henri Dewiest,M,,
way,69169446,Rue Jules Berny,M,,
way,69169500,Rue Albert Lemaitre,M,,
way,69169504,Rue Nestor Falise,M,,
way,69177649,Rue Jean Coyette,M,,
way,69178253,Rue Louis Lambert,M,,
way,69560466,Rue Jean Jaurès,M,,
way,69560476,Rue Léonard Misonne,M,,
way,69560480,Rue Jean Jaurès,M,,
way,69567092,Rue Horace Pierard,M,,
way,69574306,Rue Paul Pastur,M,,
way,69716639,Rue Hubert Bouvry,M,,
way,69716640,Rue Hubert Bouvry,M,,
way,69716643,Rue Hubert Bouvry,M,,
way,69716645,Rue Augustin Berger,M,,
way,69728778,Rue Emile Hautem,M,,
way,70601554,Rue Jules Ruhl,M,,
way,70601565,Rue Joseph Allard,M,,
way,70601583,Square Jules Ruhl,M,,
way,70601610,Avenue Emile Rousseaux,M,,
way,70605052,Rue Henri Mommens,M,,
way,70605054,Rue Major Alfred Servais,M,,
way,70605055,Rue Major Alfred Servais,M,,
way,70605060,Rue Léopold Tombelle,M,,
way,70605062,Rue Alfred Leroy,M,,
way,70605066,Rue Julien Dulait,M,,
way,70605078,Rue Raymond Jacques,M,,
way,70605328,Avenue Albert 1er,M,,
way,71082780,Rue Joseph Wauters,M,,
way,71082784,Rue Edouard Léonard,M,,
way,71838114,Rue Arthur Gailly,M,,
way,71838115,Rue Poète Charles Michel,M,,
way,71838120,Rue Edouard Baillon,M,,
way,71838124,Rue Edouard Baillon,M,,
way,71838138,Rue Edouard Baillon,M,,
way,71838139,Rue Poète Charles Michel,M,,
way,71838142,Rue Marcel Brichard,M,,
way,72370890,Rue Louis Pasteur,M,,
way,72424058,Square Émile Buisset,M,,
way,72503256,Rue Jules Mattez,M,,
way,72503261,Rue Paul Janson,M,,
way,72509755,Place Albert 1er,M,,
way,72509758,Rue Fernand Hotyat,M,,
way,72509765,Rue Fernand Hotyat,M,,
way,72509859,Rue Edmond Yernaux,M,,
way,72928751,Square Albert 1er,M,,
way,72928752,Square Albert 1er,M,,
way,74250632,Rue René De Cooman,M,,
way,74917009,Rue François de Chasteler,M,,
way,74917010,Rue Julien Lahaut,M,,
way,74917016,Rue François de Chasteler,M,,
way,74917019,Centre Spartacus Huart,M,,
way,74917027,Rue Nestor Falise,M,,
way,74917032,Rue Benne Sans Fosse,M,,
way,74917043,Rue Émile Turlot,M,,
way,74917047,Rue François de Chasteler,M,,
way,74917054,Centre Spartacus Huart,M,,
way,75025736,Rue Paul Pastur,M,,
way,75025737,Rue Nestor Jonet,M,,
way,75026620,Rue Paul Pastur,M,,
way,75353823,Allée Célestin Freinet,M,,
way,76663835,Rue Edouard Baillon,M,,
way,76981523,Rue Alphonse Planche,M,,
way,78145144,Rue Benoit Fauconnier,M,,
way,79393473,Rue Léon Mercier,M,,
way,79393476,Rue Alexis Lorette,M,,
way,79786467,Rue Arthur Decoux,M,,
way,82769190,Avenue Paul Pastur,M,,
way,83188029,Rue Léopold III,M,,
way,83486739,Rue Célestin Hecq,M,,
way,84973543,Rue Pierre et Marie Curie,M,,
way,85146718,Rue Léopold Tombelle,M,,
way,86413530,Rue Horace Pierard,M,,
way,86413540,Rue Émile Tumelaire,M,,
